"id","ComunioID","Name","Position","Verein","Punkte","PPS","T0613","T0614","T0615","T0616","T0617","T0618","T0619","T0620","T0621","T0622","T0623","T0624","T0625","T0626","T0627","T0628","T0629","T0630","T0701","T0702","T0703","T0704","T0705","T0706","T0707","T0708","T0709","T0710","T0711","T0712","T0713"
"1","31489","Baumann","Torhüter","1899 Hoffenheim",138,3.942857142,2410000,2620000,2590000,2680000,2590000,2630000,2580000,2750000,2580000,2740000,2700000,2680000,2660000,2750000,2650000,2810000,3010000,3300000,3080000,3480000,3190000,3280000,3270000,3320000,3410000,3440000,3140000,3040000,3130000,3310000,"3120000"
"2","32241","Jarstein","Torhüter","Hertha BSC",122,3.485714285,2140000,2320000,2150000,2340000,2410000,2400000,2490000,2500000,2340000,2330000,2510000,2600000,2510000,2450000,2350000,2490000,2260000,2380000,2410000,2360000,2410000,2540000,2540000,2730000,3050000,2960000,2860000,2870000,2990000,3160000,"2900000"
"3","32639","Esser","Torhüter","Hannover 96",118,4.214285714,1840000,1950000,1980000,2060000,1920000,1930000,1890000,2080000,1960000,2070000,2030000,2080000,2140000,2130000,2210000,2190000,2120000,2160000,2160000,2220000,2120000,2250000,2470000,2540000,2470000,2580000,2620000,2610000,2700000,2570000,"2420000"
"4","31774","Schwolow","Torhüter","SC Freiburg",116,3.314285714,1710000,1710000,1710000,1830000,1980000,2020000,2090000,2060000,2150000,2260000,2210000,2240000,2210000,2280000,2260000,2230000,2360000,2430000,2470000,2300000,2640000,2660000,2480000,2710000,2760000,2770000,2750000,2790000,2920000,3040000,"3080000"
"5","30988","Fährmann","Torhüter","FC Schalke 04",116,3.314285714,2180000,2290000,2210000,2380000,2450000,2540000,2650000,2760000,2780000,2850000,2780000,3050000,2910000,2980000,2870000,2860000,2730000,2820000,2810000,2940000,2840000,2920000,2820000,2940000,2830000,2780000,2780000,3150000,3130000,3170000,"3090000"
"6","31859","Leno","Torhüter","Bayer 04 Leverkusen",110,3.142857142,2090000,2180000,2010000,2220000,2050000,2130000,2190000,2260000,2280000,2280000,2100000,2280000,2190000,2270000,2240000,2260000,2160000,2280000,2620000,2620000,2610000,2580000,2830000,2830000,3040000,3000000,2930000,2950000,3160000,3020000,"2970000"
"7","32306","Sommer","Torhüter","Borussia M'gladbach",106,3.028571428,1810000,1890000,1970000,2090000,2070000,2030000,2150000,2270000,2340000,2380000,2280000,2290000,2250000,2460000,2650000,2650000,2530000,2560000,2380000,2370000,2270000,2280000,2180000,2420000,2750000,2650000,2570000,2610000,2540000,2760000,"2700000"
"8","32508","Hradecky","Torhüter","Eintracht Frankfurt",100,3.03030303,1490000,1580000,1510000,1550000,1550000,1640000,1620000,1700000,1630000,1750000,1700000,1780000,1780000,1860000,1800000,1880000,1940000,1970000,1840000,1740000,1870000,1890000,1940000,2080000,2360000,2490000,2490000,2580000,2480000,2560000,"2460000"
"9","32575","Gulácsi","Torhüter","RB Leipzig",92,2.705882352,840000,880000,850000,950000,900000,1110000,1190000,1160000,1120000,1220000,1270000,1250000,1390000,1430000,1360000,1540000,1590000,1640000,1690000,1720000,1880000,1880000,1750000,1930000,1890000,1900000,1750000,1880000,1800000,1780000,"1870000"
"10","31372","Hitz","Torhüter","FC Augsburg",92,2.787878787,1250000,1310000,1330000,1330000,1340000,1330000,1410000,1550000,1460000,1580000,1550000,1620000,1620000,1680000,1630000,1660000,1680000,1790000,1760000,1790000,1850000,1830000,1790000,1830000,1840000,1830000,1720000,1940000,2110000,2100000,"2050000"
"11","31848","T. Horn","Torhüter","1. FC Köln",86,4.095238095,2970000,2980000,3220000,3110000,3040000,3440000,3270000,3190000,3130000,3420000,3180000,3120000,3100000,3220000,3420000,3400000,2950000,3030000,2810000,3100000,2960000,2970000,3050000,3020000,2950000,3320000,3340000,3480000,3500000,3710000,"3850000"
"12","30755","Neuer","Torhüter","FC Bayern München",84,3.111111111,2070000,2300000,2280000,2390000,2230000,2170000,2370000,2370000,2300000,2490000,2510000,2430000,2270000,2470000,2370000,2380000,2790000,3180000,2960000,2760000,2620000,2900000,2830000,2830000,3000000,3040000,2870000,2930000,3130000,3260000,"3130000"
"13","32323","Bürki","Torhüter","Borussia Dortmund",80,2.857142857,1700000,1920000,1770000,1930000,1880000,2140000,2040000,2150000,2030000,2270000,2200000,2160000,2060000,2310000,2220000,2250000,2240000,2130000,2110000,2210000,2310000,2650000,2490000,2530000,2420000,2210000,2240000,2400000,2620000,2610000,"2420000"
